age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,predicted_deposit,probability,predicted_proba
33,technician,single,university.degree,no,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.8841939986429187,0.8841939986429187
31,management,single,university.degree,yes,no,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,1,0.9311969823324828,0.9311969823324828
32,technician,single,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6908619653339705,0.6908619653339705
55,management,married,university.degree,yes,no,cellular,jul,thu,7,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6519214542424467,0.6519214542424467
33,services,single,high.school,yes,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.690432593229957,0.690432593229957
35,technician,divorced,professional.course,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.259,5099.1,1,0.8557118101195996,0.8557118101195996
58,admin.,divorced,high.school,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6138931932187043,0.6138931932187043
56,admin.,married,basic.4y,no,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,1,0.6495095817479081,0.6495095817479081
55,admin.,married,professional.course,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.6335365260866962,0.6335365260866962
19,student,single,basic.6y,yes,yes,cellular,sep,thu,5,13,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0.9664520739047134,0.9664520739047134
50,admin.,single,basic.9y,yes,no,telephone,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.245,5195.8,1,0.7524923480713909,0.7524923480713909
23,technician,single,professional.course,no,yes,cellular,apr,tue,4,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,1,0.9249130805520032,0.9249130805520032
29,admin.,married,university.degree,no,no,cellular,may,wed,5,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0.6202483864372278,0.6202483864372278
45,entrepreneur,married,university.degree,yes,no,cellular,jun,fri,3,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.9218126980165532,0.9218126980165532
48,blue-collar,married,basic.9y,yes,no,cellular,may,fri,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.7738594450884185,0.7738594450884185
49,services,married,high.school,no,no,cellular,aug,mon,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.623808970216811,0.623808970216811
27,blue-collar,single,high.school,yes,no,cellular,jul,tue,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.6889647439311611,0.6889647439311611
41,technician,divorced,professional.course,yes,no,telephone,oct,mon,1,999,0,nonexistent,-0.1,93.798,-40.4,5.0,5195.8,1,0.9571694361418054,0.9571694361418054
32,admin.,married,university.degree,no,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.6660891519857796,0.6660891519857796
31,entrepreneur,single,university.degree,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7821785903742824,0.7821785903742824
30,admin.,single,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6908619653339705,0.6908619653339705
35,student,single,high.school,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,1,0.6399157454148127,0.6399157454148127
36,unemployed,married,university.degree,yes,no,cellular,mar,fri,2,999,1,failure,-1.8,92.843,-50.0,1.531,5099.1,1,0.9266172050981832,0.9266172050981832
37,management,single,university.degree,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.663521308487899,0.663521308487899
30,admin.,single,university.degree,no,no,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.6095830267185743,0.6095830267185743
34,admin.,single,high.school,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6871781280966102,0.6871781280966102
32,technician,single,professional.course,yes,yes,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.215,5076.2,1,0.9209682797514955,0.9209682797514955
23,technician,single,university.degree,yes,yes,cellular,jul,tue,11,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.681243347752246,0.681243347752246
37,admin.,single,university.degree,yes,yes,cellular,nov,fri,3,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,1,0.6177088421963736,0.6177088421963736
30,technician,single,professional.course,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,1,0.7142919792674952,0.7142919792674952
25,admin.,married,university.degree,yes,no,telephone,jun,tue,1,999,0,nonexistent,-2.9,92.963,-40.8,1.252,5076.2,1,0.8880369819428049,0.8880369819428049
35,blue-collar,single,basic.9y,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,1,0.688592191471763,0.688592191471763
51,blue-collar,divorced,basic.9y,no,no,cellular,may,wed,5,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0.6664342617487182,0.6664342617487182
25,self-employed,single,university.degree,no,no,cellular,apr,mon,2,999,1,failure,-1.8,93.749,-34.6,0.643,5008.7,1,0.924688513826049,0.924688513826049
36,technician,married,professional.course,yes,no,cellular,aug,fri,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1,0.6052305181446809,0.6052305181446809
41,services,married,professional.course,yes,yes,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.655511034708909,0.655511034708909
50,blue-collar,married,basic.9y,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1,0.6013979331620376,0.6013979331620376
57,retired,married,basic.4y,no,yes,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9217284499313289,0.9217284499313289
33,technician,single,university.degree,yes,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,1,0.8841939986429187,0.8841939986429187
27,admin.,single,university.degree,yes,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.9241436573448559,0.9241436573448559
24,self-employed,single,professional.course,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0.6426500576720869,0.6426500576720869
34,blue-collar,married,basic.9y,no,yes,cellular,aug,tue,1,999,1,failure,-1.7,94.027,-38.3,0.904,4991.6,1,0.9277551820531789,0.9277551820531789
47,admin.,divorced,high.school,yes,no,cellular,sep,tue,1,999,1,failure,-3.4,92.379,-29.8,0.755,5017.5,1,0.9232162357340072,0.9232162357340072
30,technician,single,university.degree,yes,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1,0.6887656754979015,0.6887656754979015
27,technician,single,professional.course,no,no,cellular,jun,tue,2,3,3,success,-1.7,94.055,-39.8,0.737,4991.6,1,0.9664520739047134,0.9664520739047134
50,admin.,married,high.school,yes,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,1,0.6539486363063742,0.6539486363063742
47,admin.,single,university.degree,yes,no,cellular,jun,wed,3,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9218126980165532,0.9218126980165532
38,technician,single,professional.course,yes,no,cellular,jun,thu,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,1,0.9218126980165532,0.9218126980165532
23,student,single,high.school,no,no,telephone,mar,fri,1,3,1,success,-1.8,93.369,-34.8,0.649,5008.7,1,0.9664520739047134,0.9664520739047134
30,services,single,high.school,no,no,cellular,may,fri,3,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,1,0.7308959478341713,0.7308959478341713
35,technician,single,university.degree,yes,no,cellular,aug,thu,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1,0.6390680727779563,0.6390680727779563
30,blue-collar,married,basic.9y,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1,0.6912935994912358,0.6912935994912358
51,technician,single,university.degree,no,no,cellular,jun,fri,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,1,0.9248757763922141,0.9248757763922141
47,technician,married,professional.course,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1,0.71330084519967,0.71330084519967
35,technician,single,professional.course,no,yes,cellular,may,thu,2,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,1,0.6741002331020934,0.6741002331020934
32,management,married,university.degree,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6001262752094519,0.6001262752094519
52,blue-collar,married,basic.6y,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0.6593415787076398,0.6593415787076398
36,admin.,single,university.degree,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0.7556350165781296,0.7556350165781296
36,admin.,single,high.school,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1,0.7804853669928298,0.7804853669928298
34,technician,married,high.school,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6436455427941871,0.6436455427941871
22,student,single,high.school,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,93.876,-40.0,0.697,5008.7,1,0.9450844362695074,0.9450844362695074
44,blue-collar,married,professional.course,yes,no,cellular,jun,fri,3,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,1,0.9650165519011713,0.9650165519011713
33,services,single,high.school,yes,no,cellular,mar,fri,2,6,1,success,-1.8,93.369,-34.8,0.636,5008.7,1,0.9664520739047134,0.9664520739047134
26,blue-collar,married,basic.9y,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,1,0.7191576190476328,0.7191576190476328
35,technician,married,professional.course,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6015432733113821,0.6015432733113821
27,blue-collar,single,basic.9y,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1,0.6716548194947803,0.6716548194947803
50,services,married,high.school,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1,0.6571730648317649,0.6571730648317649
